cell_id,time_step,gene_1_mRNA,gene_1_protein,gene_2_mRNA,gene_2_protein,replicate,clone_id
3,5,5,44751,8,44292,1,3
3,6,5,46834,6,47531,1,3
3,7,4,48528,6,50098,1,3
3,8,3,49934,6,52627,1,3
3,9,3,50809,7,55434,1,3
3,10,3,51716,7,58128,1,3
3,11,2,52167,7,60974,1,3
3,12,2,52510,7,63993,1,3
3,13,2,52872,6,66622,1,3
3,14,3,53354,9,69467,1,3
3,15,1,53632,8,72913,1,3
3,16,1,53378,9,76805,1,3
3,17,1,53192,9,80258,1,3
3,18,1,52895,10,84512,1,3
3,19,3,53689,10,88697,1,3
3,20,2,54296,10,92853,1,3
3,21,3,55011,9,97147,1,3
3,22,2,55581,9,100626,1,3
3,23,2,56006,9,104024,1,3
3,24,3,56543,9,107376,1,3
3,25,3,57352,10,111584,1,3
3,26,3,58155,8,114926,1,3
3,27,3,58993,11,118601,1,3
3,28,4,59657,11,123180,1,3
3,29,3,60567,9,126439,1,3
3,30,3,61282,7,129199,1,3
3,31,3,62000,5,130735,1,3
3,32,2,62628,3,131178,1,3
3,33,1,62561,5,131873,1,3
3,34,0,61732,5,132704,1,3
3,35,0,60785,5,133572,1,3
3,36,0,59841,6,134686,1,3
3,37,0,58915,5,135891,1,3
3,38,0,57990,3,135773,1,3
3,39,0,57107,5,135847,1,3
3,40,0,56295,6,136823,1,3
3,41,1,55859,5,137660,1,3
3,42,1,55618,6,138513,1,3
3,43,1,55326,5,139111,1,3
3,44,1,55033,3,139038,1,3
3,45,1,54770,5,139085,1,3
3,46,1,54444,5,139692,1,3
3,47,1,54187,3,139966,1,3
3,48,1,53942,3,139574,1,3
4,0,0,15527,1,17383,1,4
4,1,0,15271,1,17664,1,4
4,2,0,15039,2,18159,1,4
4,3,0,14828,3,19239,1,4
4,4,1,14630,3,20576,1,4
4,5,0,14433,3,21953,1,4
4,6,0,14230,3,23351,1,4
4,7,0,14044,3,24362,1,4
4,8,0,13812,4,26102,1,4
4,9,0,13623,4,27646,1,4
4,10,0,13425,4,29430,1,4
4,11,0,13233,5,31980,1,4
4,12,0,12999,5,34314,1,4
4,13,0,12808,4,36360,1,4
4,14,0,12611,3,37623,1,4
4,15,0,12401,4,38711,1,4
4,16,0,12185,1,39166,1,4
4,17,0,12003,1,39128,1,4
4,18,0,11832,1,39105,1,4
4,19,0,11656,1,39514,1,4
4,20,2,11570,1,39495,1,4
4,21,1,12186,1,39460,1,4
4,22,1,12550,1,39468,1,4
4,23,1,13022,1,39395,1,4
4,24,0,12833,1,39341,1,4
4,25,0,12645,2,39537,1,4
4,26,0,12443,1,39779,1,4
4,27,0,12242,1,39728,1,4
4,28,0,12045,1,39737,1,4
4,29,0,11877,2,39809,1,4
4,30,0,11673,2,40486,1,4
4,31,0,11501,2,40934,1,4
4,32,0,11294,2,41423,1,4
4,33,0,11149,2,41840,1,4
4,34,0,10970,2,42334,1,4
4,35,0,10784,2,42543,1,4
4,36,0,10605,2,43031,1,4
4,37,0,10442,2,43462,1,4
4,38,1,10672,2,43968,1,4
4,39,1,11115,2,44420,1,4
4,40,1,11475,2,44865,1,4
4,41,1,11881,1,44872,1,4
4,42,1,12272,1,44748,1,4
4,43,0,12245,2,44973,1,4
4,44,0,12043,2,45242,1,4
4,45,0,11853,3,45777,1,4
4,46,0,11668,3,46572,1,4
4,47,0,11497,2,47266,1,4
4,48,0,11305,2,47702,1,4
5,0,2,32836,4,74174,1,5
5,1,2,33378,4,75046,1,5
5,2,2,33990,4,76157,1,5
5,3,2,34541,5,77574,1,5
5,4,1,34832,6,79384,1,5
5,5,0,34864,6,81793,1,5
5,6,0,34324,5,83498,1,5
5,7,1,34088,6,85171,1,5
5,8,2,34417,6,87346,1,5
5,9,1,34669,6,89461,1,5
5,10,2,34971,7,91351,1,5
5,11,2,35551,7,94346,1,5
5,12,1,36098,7,96766,1,5
5,13,1,36140,7,99491,1,5
5,14,1,36151,7,101886,1,5
5,15,0,35812,7,104201,1,5
5,16,0,35232,6,106279,1,5
5,17,0,34696,7,108023,1,5
5,18,0,34163,9,111528,1,5
5,19,0,33634,9,114984,1,5
5,20,0,33118,8,118117,1,5
5,21,0,32593,8,120792,1,5
5,22,0,32076,9,123399,1,5
5,23,0,31620,7,125837,1,5
5,24,0,31105,6,127429,1,5
5,25,0,30659,3,128152,1,5
5,26,0,30178,2,127996,1,5
5,27,1,29747,2,127153,1,5
5,28,1,29921,3,126462,1,5
5,29,0,29825,5,126364,1,5
5,30,1,29756,5,127136,1,5
5,31,2,29874,5,127890,1,5
5,32,2,30518,6,129201,1,5
5,33,2,31164,5,130107,1,5
5,34,2,31848,5,130891,1,5
5,35,2,32462,4,131221,1,5
5,36,2,33085,4,131517,1,5
5,37,1,33555,3,131273,1,5
5,38,0,33578,3,130859,1,5
5,39,0,33044,2,130237,1,5
5,40,0,32512,3,129419,1,5
5,41,0,31950,2,128715,1,5
5,42,0,31475,4,128144,1,5
5,43,1,31053,3,128164,1,5
5,44,0,31021,3,127862,1,5
5,45,0,30565,3,127573,1,5
5,46,1,30417,1,127170,1,5
5,47,0,30027,1,125748,1,5
5,48,0,29556,1,124357,1,5
6,0,1,29376,1,91211,1,6
6,1,1,29437,2,90632,1,6
6,2,1,29506,3,90487,1,6
6,3,1,29624,2,90156,1,6
6,4,2,29850,2,89958,1,6
6,5,1,30189,3,89845,1,6
6,6,1,30288,2,90027,1,6
6,7,1,30427,2,89752,1,6
6,8,1,30476,1,89384,1,6
6,9,1,30501,2,89239,1,6
6,10,1,30545,1,88945,1,6
6,11,1,30586,0,87701,1,6
6,12,1,30659,0,86368,1,6
6,13,1,30702,1,85116,1,6
6,14,1,30812,2,84558,1,6
6,15,1,30863,3,84536,1,6
6,16,1,30904,4,85545,1,6
6,17,1,31030,3,86080,1,6
6,18,1,31072,3,86429,1,6
6,19,3,31285,3,86818,1,6
6,20,4,32870,3,87215,1,6
6,21,3,34360,2,87371,1,6
6,22,2,35092,2,87186,1,6
6,23,1,35665,2,86964,1,6
6,24,1,35698,3,86998,1,6
6,25,1,35768,3,87349,1,6
6,26,1,35733,5,88726,1,6
6,27,1,35728,4,90077,1,6
6,28,1,35770,5,91398,1,6
6,29,1,35803,4,92453,1,6
6,30,1,35789,4,93272,1,6
6,31,1,35873,4,94414,1,6
6,32,1,35887,3,94796,1,6
6,33,1,35906,3,95085,1,6
6,34,1,35912,4,95517,1,6
6,35,1,35936,2,95781,1,6
6,36,0,35867,3,95733,1,6
6,37,0,35345,2,95490,1,6
6,38,1,34889,1,95073,1,6
6,39,1,34910,0,93681,1,6
6,40,1,34971,1,92820,1,6
6,41,1,35041,1,92026,1,6
6,42,1,35049,3,91224,1,6
6,43,1,35055,2,91450,1,6
6,44,1,35062,2,91235,1,6
6,45,1,35035,3,91063,1,6
6,46,2,35389,3,91323,1,6
6,47,1,35888,3,91557,1,6
6,48,1,35914,4,92135,1,6
7,0,0,29940,4,119123,1,7
